datetime,latitude,longitude,altitude
2023-11-22T13:00:00Z,-33.8787632,18.8026149,20000
2023-11-22T13:02:00Z,-33.8152152,19.0050131,30000
2023-11-22T13:04:00Z,-33.8787632,18.8026149,20000
2023-11-22T13:05:00Z,-33.9190353,18.6285298,10000
2023-11-22T13:06:00Z,-33.9626351,18.4226612,0
2023-11-22T13:07:00Z,-33.9190353,18.6285298,10000
2023-11-22T13:08:00Z,-33.8787632,18.8026149,20000
2023-11-22T13:10:00Z,-33.8152152,19.0050131,30000
2023-11-22T13:12:00Z,-33.8787632,18.8026149,20000
2023-11-22T13:13:00Z,-33.9190353,18.6285298,10000
2023-11-22T13:14:00Z,-33.9626351,18.4226612,0
2023-11-22T13:15:00Z,-33.9190353,18.6285298,10000
2023-11-22T13:16:00Z,-33.8787632,18.8026149,20000
2023-11-22T13:18:00Z,-33.8152152,19.0050131,30000
2023-11-22T13:20:00Z,-33.8787632,18.8026149,20000
2023-11-22T13:21:00Z,-33.9190353,18.6285298,10000
2023-11-22T13:22:00Z,-33.9626351,18.4226612,0
2023-11-22T13:23:00Z,-33.9190353,18.6285298,10000
2023-11-22T13:24:00Z,-33.8787632,18.8026149,20000
2023-11-22T13:26:00Z,-33.8152152,19.0050131,30000
2023-11-22T13:28:00Z,-33.8787632,18.8026149,20000
2023-11-22T13:30:00Z,-33.8152152,19.0050131,30000
2023-11-22T13:32:00Z,-33.8787632,18.8026149,20000
2023-11-22T13:33:00Z,-33.9190353,18.6285298,10000
2023-11-22T13:34:00Z,-33.9626351,18.4226612,0
2023-11-22T13:35:00Z,-33.9190353,18.6285298,10000
2023-11-22T13:36:00Z,-33.8787632,18.8026149,20000
2023-11-22T13:38:00Z,-33.8152152,19.0050131,30000
2023-11-22T13:40:00Z,-33.8787632,18.8026149,20000
2023-11-22T13:41:00Z,-33.9190353,18.6285298,10000
2023-11-22T13:42:00Z,-33.9626351,18.4226612,0
2023-11-22T13:43:00Z,-33.9190353,18.6285298,10000
2023-11-22T13:44:00Z,-33.8787632,18.8026149,20000
2023-11-22T13:46:00Z,-33.8152152,19.0050131,30000
2023-11-22T13:48:00Z,-33.8787632,18.8026149,20000
2023-11-22T13:49:00Z,-33.9190353,18.6285298,10000
2023-11-22T13:50:00Z,-33.9626351,18.4226612,0
2023-11-22T13:51:00Z,-33.9190353,18.6285298,10000
2023-11-22T13:52:00Z,-33.8787632,18.8026149,20000
2023-11-22T13:54:00Z,-33.8152152,19.0050131,30000
2023-11-22T13:56:00Z,-33.8787632,18.8026149,20000
2023-11-22T13:57:00Z,-33.9190353,18.6285298,10000
2023-11-22T13:58:00Z,-33.9626351,18.4226612,0
2023-11-22T13:59:00Z,-33.9190353,18.6285298,10000
