datetime,latitude,longitude,altitude
2023-10-10T08:14:00Z,-32.97160,18.15620,0.0
2023-10-10T08:15:00Z,-32.97187,18.15674,300.0
2023-10-10T08:16:00Z,-32.97280,18.15735,600.0
2023-10-10T08:17:00Z,-32.97386,18.15801,900.0
2023-10-10T08:18:00Z,-32.97491,18.15865,1200.0
2023-10-10T08:19:00Z,-32.97610,18.15927,1500.0
2023-10-10T08:20:00Z,-32.97749,18.15997,1800.0
2023-10-10T08:21:00Z,-32.97906,18.16080,2100.0
2023-10-10T08:22:00Z,-32.98077,18.16159,2400.0
2023-10-10T08:23:00Z,-32.98264,18.16266,2700.0
2023-10-10T08:24:00Z,-32.98461,18.16427,3000.0
2023-10-10T08:25:00Z,-32.98642,18.16639,3300.0
2023-10-10T08:26:00Z,-32.98783,18.16905,3600.0
2023-10-10T08:27:00Z,-32.98894,18.17227,3900.0
2023-10-10T08:28:00Z,-32.98997,18.17609,4200.0
2023-10-10T08:29:00Z,-32.99111,18.18055,4500.0
2023-10-10T08:30:00Z,-32.99252,18.18579,4800.0
2023-10-10T08:31:00Z,-32.99434,18.19194,5100.0
2023-10-10T08:32:00Z,-32.99668,18.19886,5400.0
2023-10-10T08:33:00Z,-32.99920,18.20599,5700.0
2023-10-10T08:34:00Z,-33.00158,18.21283,6000.0
2023-10-10T08:35:00Z,-33.00380,18.21928,6300.0
2023-10-10T08:36:00Z,-33.00624,18.22600,6600.0
2023-10-10T08:37:00Z,-33.00902,18.23409,6900.0
2023-10-10T08:38:00Z,-33.01210,18.24437,7200.0
2023-10-10T08:39:00Z,-33.01533,18.25747,7500.0
2023-10-10T08:40:00Z,-33.01898,18.27435,7800.0
2023-10-10T08:41:00Z,-33.02323,18.29406,8100.0
2023-10-10T08:42:00Z,-33.02826,18.31481,8400.0
2023-10-10T08:43:00Z,-33.03463,18.33666,8700.0
2023-10-10T08:44:00Z,-33.04266,18.35978,9000.0
2023-10-10T08:45:00Z,-33.05206,18.38447,9300.0
2023-10-10T08:46:00Z,-33.06246,18.41069,9600.0
2023-10-10T08:47:00Z,-33.07244,18.43811,9900.0
2023-10-10T08:48:00Z,-33.08213,18.46681,10200.0
2023-10-10T08:49:00Z,-33.09236,18.49717,10500.0
2023-10-10T08:50:00Z,-33.10330,18.52941,10800.0
