datetime,latitude,longitude,altitude
2023-11-22T14:00:00Z,-33.8787632,18.8026149,20000
2023-11-22T14:02:00Z,-33.8152152,19.0050131,30000
2023-11-22T14:04:00Z,-33.8787632,18.8026149,20000
2023-11-22T14:05:00Z,-33.9190353,18.6285298,10000
2023-11-22T14:06:00Z,-33.9626351,18.4226612,0
2023-11-22T14:07:00Z,-33.9190353,18.6285298,10000
2023-11-22T14:08:00Z,-33.8787632,18.8026149,20000
2023-11-22T14:10:00Z,-33.8152152,19.0050131,30000
2023-11-22T14:12:00Z,-33.8787632,18.8026149,20000
2023-11-22T14:13:00Z,-33.9190353,18.6285298,10000
2023-11-22T14:14:00Z,-33.9626351,18.4226612,0
2023-11-22T14:15:00Z,-33.9190353,18.6285298,10000
2023-11-22T14:16:00Z,-33.8787632,18.8026149,20000
2023-11-22T14:18:00Z,-33.8152152,19.0050131,30000
2023-11-22T14:20:00Z,-33.8787632,18.8026149,20000
2023-11-22T14:21:00Z,-33.9190353,18.6285298,10000
2023-11-22T14:22:00Z,-33.9626351,18.4226612,0
2023-11-22T14:23:00Z,-33.9190353,18.6285298,10000
2023-11-22T14:24:00Z,-33.8787632,18.8026149,20000
2023-11-22T14:26:00Z,-33.8152152,19.0050131,30000
2023-11-22T14:28:00Z,-33.8787632,18.8026149,20000
