datetime,latitude,longitude,altitude
2023-11-22T11:00:00Z,-33.8787632,18.8026149,20000
2023-11-22T11:02:00Z,-33.8152152,19.0050131,30000
2023-11-22T11:04:00Z,-33.8787632,18.8026149,20000
2023-11-22T11:05:00Z,-33.9190353,18.6285298,10000
2023-11-22T11:06:00Z,-33.9626351,18.4226612,0
2023-11-22T11:07:00Z,-33.9190353,18.6285298,10000
2023-11-22T11:08:00Z,-33.8787632,18.8026149,20000
2023-11-22T11:10:00Z,-33.8152152,19.0050131,30000
2023-11-22T11:12:00Z,-33.8787632,18.8026149,20000
2023-11-22T11:13:00Z,-33.9190353,18.6285298,10000
2023-11-22T11:14:00Z,-33.9626351,18.4226612,0
2023-11-22T11:15:00Z,-33.9190353,18.6285298,10000
2023-11-22T11:16:00Z,-33.8787632,18.8026149,20000
2023-11-22T11:18:00Z,-33.8152152,19.0050131,30000
2023-11-22T11:20:00Z,-33.8787632,18.8026149,20000
2023-11-22T11:21:00Z,-33.9190353,18.6285298,10000
2023-11-22T11:22:00Z,-33.9626351,18.4226612,0
2023-11-22T11:23:00Z,-33.9190353,18.6285298,10000
2023-11-22T11:24:00Z,-33.8787632,18.8026149,20000
2023-11-22T11:26:00Z,-33.8152152,19.0050131,30000
2023-11-22T11:28:00Z,-33.8787632,18.8026149,20000
2023-11-22T11:30:00Z,-33.8152152,19.0050131,30000
2023-11-22T11:32:00Z,-33.8787632,18.8026149,20000
2023-11-22T11:33:00Z,-33.9190353,18.6285298,10000
2023-11-22T11:34:00Z,-33.9626351,18.4226612,0
2023-11-22T11:35:00Z,-33.9190353,18.6285298,10000
2023-11-22T11:36:00Z,-33.8787632,18.8026149,20000
2023-11-22T11:38:00Z,-33.8152152,19.0050131,30000
2023-11-22T11:40:00Z,-33.8787632,18.8026149,20000
2023-11-22T11:41:00Z,-33.9190353,18.6285298,10000
2023-11-22T11:42:00Z,-33.9626351,18.4226612,0
2023-11-22T11:43:00Z,-33.9190353,18.6285298,10000
2023-11-22T11:44:00Z,-33.8787632,18.8026149,20000
2023-11-22T11:46:00Z,-33.8152152,19.0050131,30000
2023-11-22T11:48:00Z,-33.8787632,18.8026149,20000
2023-11-22T11:49:00Z,-33.9190353,18.6285298,10000
2023-11-22T11:50:00Z,-33.9626351,18.4226612,0
2023-11-22T11:51:00Z,-33.9190353,18.6285298,10000
2023-11-22T11:52:00Z,-33.8787632,18.8026149,20000
2023-11-22T11:54:00Z,-33.8152152,19.0050131,30000
2023-11-22T11:56:00Z,-33.8787632,18.8026149,20000
2023-11-22T11:57:00Z,-33.9190353,18.6285298,10000
2023-11-22T11:58:00Z,-33.9626351,18.4226612,0
2023-11-22T11:59:00Z,-33.9190353,18.6285298,10000
